posemo,anx,anger,sad,affiliation
64.29,0,0,1.79,10
64.29,0,0,0,5.41
72.22,0,0,0,0
56.6,3.77,0,9.43,10.64
7.14,21.43,0,52.38,0
39.02,4.88,0,36.59,8.11
28.95,10.53,0,5.26,0
35.48,25.81,0,9.68,3.57
54.39,5.26,0,7.02,3.92
43.75,6.25,0,0,0
65.85,0,0,0,0
58.49,3.77,0,5.66,4.08
30.77,12.82,0,25.64,0
53.33,4.44,0,6.67,0
51.09,8.7,0.54,7.07,1.1
36.11,2.78,0,0,3.12
15.36,28.93,19.29,8.21,1.09
26.67,20,2.22,20,2.44
19.35,22.58,6.45,3.23,0
61.22,4.08,2.04,0,11.11
43.18,20.45,9.09,4.55,10
69.39,0,2.04,0,9.09
2.78,2.78,0,72.22,0
53.85,5.13,0,5.13,0
58.54,0,0,2.44,2.86
38.98,1.69,1.69,10.17,5.66
60.47,0,0,0,0
66.67,1.85,0,1.85,8.33
27.03,8.11,0,10.81,0
61.02,5.08,0,6.78,12.96
53.12,0,0,0,14.81
47.5,2.5,0,2.5,8.33
45.83,6.25,0,31.25,20.93
35.29,0,0,0,0
48.94,0,0,6.38,0
57.14,5.36,1.79,10.71,0
60.48,3.33,0,8.57,2.94
35.9,15.38,7.69,7.69,0
48.65,5.41,0,2.7,0
19.35,6.45,0,22.58,0
34.88,9.3,0,27.91,0
43.96,5.31,1.93,12.08,0.5
72.92,0,0,0,4.65
72.92,0,2.08,2.08,2.33
31.48,18.52,5.56,12.96,2.04
50,0,0,12.5,0
46.51,2.33,4.65,2.33,5.26
68.89,2.22,0,2.22,10
48.28,0,0,0,0
5.88,23.53,1.96,23.53,0
42.55,0,4.26,19.15,0
66.67,0,0,13.33,0
28.89,11.11,0,13.33,0
17.39,30.43,0,32.61,0
35.19,9.26,0,31.48,4.08
65.12,2.33,0,4.65,17.95
40,11.43,0,5.71,0
20.51,2.56,7.69,10.26,0
64.91,0,1.75,3.51,19.23
37.14,0,0,5.71,0
28.12,6.25,0,6.25,0
34.78,10.87,0,21.74,0
17.5,20,0,17.5,0
47.37,5.26,0,10.53,0
48.57,5.71,0,2.86,6.67
37.14,2.86,0,2.86,0
40,0,0,8.57,0
56.36,1.82,3.64,7.27,0
65.12,0,0,13.95,5
2.63,34.21,2.63,34.21,0
23.33,16.67,6.67,6.67,0
35.59,8.47,0,27.12,3.92
51.06,0,0,8.51,7.5
78.38,0,0,0,6.45
78.26,0,0,0,0
16.6,20.08,1.16,36.68,0.39
18.6,13.95,6.98,11.63,0
48.89,4.44,0,6.67,7.5
62.26,3.77,0,7.55,4.17
52.27,0,0,2.27,5
52.5,5,0,2.5,0
37.5,0,0,0,3.85
50,4.55,0,6.82,0
23.08,35.9,0,17.95,2.86
29.41,3.92,11.76,1.96,0
52.94,0,0,2.94,3.33
70.73,0,0,7.32,2.7
77.78,0,0,0,14.63
18.75,16.67,4.17,10.42,2.27
9.84,31.15,13.11,16.39,0
65.71,0,0,0,0
63.36,3.45,0.43,6.47,3.1
69.02,0.78,0.39,3.53,3.2
71.74,0,0,0,2.44
55.26,2.63,0,7.89,0
35.71,14.29,4.76,19.05,21.62
32.65,6.12,8.16,10.2,0
73.81,0,0,0,0
25.42,20.34,1.69,27.12,1.85
35.14,5.41,0,10.81,0
81.48,0,0,0,16.33
60.32,6.35,0,3.17,0
29.79,12.77,4.26,14.89,0
34.88,13.95,2.33,0,2.56
35.71,11.9,0,19.05,0
